Client,Case Study or Client Story,Industry,Vertical,Product,Summary,Link,Quarter,Primary region
Agri-Fab,Client story,Hardware / Home Improvement,Brand,TryIt Sampling,TryIt Sampling ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
ALDI,Client story,Mass Merchant / Department Store,Retail,R&R,As an “Agile Covid19 Response” ALDI UK started to offer “Food Parcels” online. ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Allen Edmonds,Client story,Apparel / Accessories,Brand,R&R,Allen Edmonds improved product rating & client satisfaction by addressing review feedback ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
American Girl,Client story,Toys / Games / Hobbies,Brand,R&R,"Loyalty program encouraged review submissions, increasing volume and repeat visits from advocates",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
American Girl,Client story,Toys / Games / Hobbies,Brand,R&R,Listening and responding to customers ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
Angelcare,Client story,Consumer Electronics,Brand,R&R,Product Catalog Application drives syndicated volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Anthropologie,Client story,Apparel / Accessories,Retail,R&R,Launch of Customer Review cards campaign,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
APG & Co,Client story,Apparel / Accessories,Brand,R&R,Improving customer confidence for the products and brands,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,APAC
APG & Co,Client story,Apparel / Accessories,Retail,R&R,Launched new product category based on customer feedback and insights,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,APAC
Ariat,Client story,Apparel / Accessories,Brand,R&R,Increases reach to consumers by adding UPCs,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
ASDA,Client story,Mass Merchant / Department Store,Retail,R&R,"PIE and MPS boosts volume, rating, and coverage for grocery retailer ASDA",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
ASDA George,Client story,Mass Merchant / Department Store,Retail,Q&A,Pilot of Q&A in one category leads to conversion increase and supports broader rollout of Q&A and using it to identify themes for ways to improve descriptions; 97% conversion lift among those who engage,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
ASDA George,Client story,Mass Merchant / Department Store,Retail,R&R,"ASDA's internal anaylsis proves the value of review volume; if  PDPs with 0 reviews had 20 reviews, it could drive an additional £10M a year",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Asics,Client story,Footwear,Brand,R&R,Optimizations to program lifts conversions and RPV,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Asics,Client story,Footwear,Brand,R&R,Asics America implements In-Mail Submission and has best performing year to date ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
Asics,Client story,Footwear,Brand,R&R,"ASICS EMEA Launches Raffle sweeps; boosts volume, rating and email performance",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Asics,Client story,Footwear,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
AT&T,Client story,Telecommunications,Retail,R&R,High performance and showcase of innovation results in extended pilot of new Review Highlights feature,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
AT&T,Client story,Telecommunications,Retail,Q&A,AT&T leveraging Q&A as part of their new device launches,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EkEnXd_67tdGgyWtXFw5Lz4Bzwf49xsOycZk4ADgvP594A?e=Ri6hHU,FY18 Q3,NA
AT&T,Client story,Telecommunications,Retail,R&R,Gathering customer insights to enhance online upgrade experience and online marketing,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
Auchan,Client story,Mass Merchant / Department Store,Retail,R&R,"Used reviews to gather insights to improve product description and recipes and to improve display, which helped build trust in white-label products",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,EMEA
Auchen Drive,Client story,Food / Beverage / Drug,Retail,R&R,Couponing increases review volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,EMEA
Auto Parts Warehouse,Client story,Automotive,Retail,R&R,Syndication and Sweepstakes,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
Bath & Body Works,Client story,Health / Beauty,Retail,R&R,"Sweepstakes supports Mother's Day and yields lift in review volume, engagement, etc. ",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
Bath & Body Works,Client story,Health / Beauty,Retail,R&R,Bath & Body Works sees an increase in engagement on PDPs after moving CGC higher up on the pages,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eik7uj87Hv1Kvdj-NKFzGigBRPZzOLga5uVp_iEF7a68FA?e=Aytx3X,FY19 Q2,NA
Bayer,Client story,Pharmaceuticals,Brand,"R&R,TryIt Sampling,Influenster",Revises moderation process and increases TryIt/Influenster offerings,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Bitdefender,Client story,Software,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Blain's Farm and Fleet,Client story,Mass Merchant / Department Store,Retail,R&R,PIE increases review volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Blinds.com,Client story,Hardware / Home Improvement,Retail,Curations,Curations on in-office screens display feedback and imagery for inspiration,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
Bloom and Blossom,Client story,Health / Beauty,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Bloomingdales,Client story,Mass Merchant / Department Store,Retail,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Blue Ridge Home ,Client story,Home Improvement/Furnishings,Brand,TryIt Sampling,Blue Ridge Home Wins Big with Try It Sampling,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
Bluemercury,Client story,Health / Beauty,Retail,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Bluprint,Client story,Media,Retail,R&R,In-mail submission and multi-product submission,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
bol.com,Client story,Mass Merchant / Department Store,Retail,R&R,R&R submission chatbot,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,EMEA
BonaKemi,Client story,CPG (Consumer Packaged Goods),Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Boot Barn,Client story,Footwear,Retail,R&R,PIE and feed updates increases review volume and revenue,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Bosch,Client story,Hardware / Home Improvement,Brand,"Insights,R&R",Bosch Tools boosts email marketing performance using Bazaarvoice Insights to find and leverage compelling customer reviews,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Boulanger,Client story,Consumer Electronics,Retail,R&R,Determined the actual ROBO by adding the proper questions to submission form,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,EMEA
Boux Avenue,Client story,Apparel / Accessories,Retail,R&R,Boux Avenue uses UGC content to overcome the impossibility to shoot their latest collection due to lockdown restrictions ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
BP,Client story,Chemicals,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Breville,Client story,Hardware / Home Appliance Electronics,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Brother AU,Client story,Office Supplies,Retail,R&R,Brand response helps to improve customer satisfaction,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,APAC
BSH,Client story,Consumer Electronics,Brand,R&R,"Defined a volume target for key markets, considering challenges of each environment and introduced the strategy in key markets like Germany, Netherlands and Spain to get the needed engagement and knowledge exchange from the single country managers. With landing pages, sweepstakes and sending mails to registered clients, volume for Bosch Germany, Netherlands and Spain doubled in a month.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Build.com,Client story,Hardware / Home Improvement,Retail,R&R,Increases review volume using Order Status pages,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
Build.com,Client story,Hardware / Home Improvement,Retail,R&R,Moves to BV hosted emails drives CTR and volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Burlington,Client story,Apparel / Accessories,Retail,R&R,"An early adopter of multi-product rating email leads to increase in review volume and conversions; 96% increase in coverage in 50 days, and 163% increase in QoQ average daily volume, 25% lift in conversions in 60 days compared to prior 60 days",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,NA
Burlington,Client story,Apparel / Accessories,Retail,Q&A,Burlington recognizes the power of an answered question through APO,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EkEnXd_67tdGgyWtXFw5Lz4Bzwf49xsOycZk4ADgvP594A?e=Ri6hHU,FY18 Q3,NA
Burlington,Client story,Apparel / Accessories,Retail,R&R,Burlington set review response in motion to increase customer retention,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
C&B,Client story,Apparel / Accessories,Brand,R&R,Christopher & Banks runs sweepstakes to increase conversion rate,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
C&B,Client story,Apparel / Accessories,Retail,R&R,Sweepstakes supports Review Highlights success,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
C&B,Client story,Apparel / Accessories,Retail,R&R,In-store PIE drives volume and ROBO success,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
Calego,Client story,Sporting Goods / Outdoors,Brand,"Insights,R&R","Calego counters the low demand for luggage and high demand for safety during COVID by developing sanitary solution for keeping airline passengers safe and uses UGC and Insights to support the launch, secure shelf-space at Walmart, and generate a new source of revenue.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Caleres,Client story,Footwear,Brand,R&R,House of Brands sees huge volume impact across portfolio ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
Canon Europe,Client story,Consumer Electronics,Brand,R&R,Switching to BV PIE led to doubling of average monthly review volume ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Cat's Pride,Client story,Pets,Brand,R&R,Used CGC to get products back on retailer shelves after many began pulling the brand's products from the store,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Catisfaction,Client story,Pets,Brand,R&R,Product picker via social and email increases review volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,EMEA
Cdiscount,Client story,Mass Merchant / Department Store,Retail,R&R,Giving brands a voice on the retailer's site via inbound syndication and Connections,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,EMEA
Cdiscount,Client story,Mass Merchant / Department Store,Retail,Curations,Visual content drives conversion,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,EMEA
Cellarmasters,Client story,Food / Beverage / Drug,Retail,R&R,Improves marketing efficacy with reviews (amplify CTR and conversion),https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,APAC
Charles Schwab,Client story,Financial Services,Financial Services,R&R,"Sent a decidated email asking for reviews, leading to thousands of reviews, as the first time the company ever actively asked for the content",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EolleuYqjJtOpqw-Jbxh5esBjhO0U7pkx3lfy3Q3G2HZfg?e=Pq8ODN,FY17 Q4,NA
Chemist Warehouse,Client story,Pharmaceuticals,Retail,R&R,Various strategies increase volume and conversion,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,APAC
Chemist Warehouse,Client story,Pharmaceuticals,Retail,R&R,Optimizes PIE with testing,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,APAC
Chemist Warehouse,Client story,Pharmaceuticals,Retail,R&R,Chemist Warehouse test In-mail versus incentivised PIE,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,APAC
Chemist Warehouse,Client story,Pharmaceuticals,Retail,R&R,Chemist Warehouse track higher conversions online and in-store (ROBO),https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,APAC
Chervon (EGO),Client story,Hardware / Home Improvement,Brand,Curations,Curations and Ads support successful brand launch,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
Chico's,Client story,Apparel / Accessories,Retail,R&R,Sweeps increases review volume and conversion,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
City of Austin,Client story,Financial Services,Other,Q&A,Q&A platform for small business owners,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
Clarins AU,Client story,Health / Beauty,Brand,R&R,"Clarins AU boosts sales with In-mail, MPS and intra-syndication",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Clopay,Client story,Building Materials,Brand,R&R,Drove volume for products difficult to get reviews for via dealers and increased photo submissions via sweeps,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Clorox,Client story,CPG (Consumer Packaged Goods),Brand,R&R,Brands collaborate with DCOE for 50x-200x previous content levels and 5k new loyalists to CRM databases,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
Coast Stores,Client story,Apparel / Accessories,Retail,Curations,Launch an online competition to push clients to share their Coast moments and to inspire other women looking for a bridesmaids dresses or a unique outfit by leveraging the Curation upload button for volume.,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Complete Nutrition,Client story,Dietary Supplements,Brand,R&R,"Distributed samples of new products at an event, resulting in significant volume and a high rating",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Costco,Client story,Mass Merchant / Department Store,Retail,R&R,"Increasing native review volume with enhanced submission process, including in-mail submission and moderation guidelines",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Country Road Group,Client story,Apparel / Accessories,Retail,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
