Client,Name,Title,Full attribution,Industry,Vertical,Tags,"Quote ""...""",Source,Current client
Argos,Joanna Steele,Senior Reviews & CGC Manager,"Joanna Steele, Argos",Mass Merchant / Department Store,Retail,Sampling,"We invite customers to join based on spend and the number of reviews they’ve written previously. We find out as much about them and their lifestyle as possible to ensure relevant products get into the right hands and offer guidelines advising on which features and benefits to focus on when reviewing, encouraging them to submit rich valuable content that will benefit other customers. We collect 30% more imagery this route compared to native review submission.",Case study,Yes
Argos,Joanna Steele,Senior Reviews & CGC Manager,"Joanna Steele, Argos",Mass Merchant / Department Store,Retail,Sampling,"We really highlight the importance of products going live with reviews from day one, so with new products taking up to four weeks to acquire reviews unaided, the Sampling programme is a fantastic tool to help solve this issue and generate those all-important first reviews.",Case study,Yes
Argos,Joanna Steele,Senior Reviews & CGC Manager,"Joanna Steele, Argos",Mass Merchant / Department Store,Retail,"BV: Generic,Sampling","We are very open to all brands participation no matter what the products or company size, the content the testers can give on their products is invaluable. Set up is easy and as soon as you have stock available, campaigns can be turned around very quickly.",Case study,Yes
Augusta Sportswear,Melissa Best,Digital Marketing Strategist,"Melissa Best, Augusta Sportswear",Sporting Goods / Outdoors,Manufacturing,"SEO,Q&A,Conversion","Customer reviews help improve our conversion rate, bounce rate and time on site. It also helps provide SEO rich content on the product detail page which gives us better rankings on SERPS. Review stars on Category Pages improve CTR as well. The Questions & Answers section on the product detail pages give us another way to add SEO-rich content when we answer customer questions. It also gives us insight into what the customers are struggling with.",Trust Radius,Yes
Baby Elegance,Gavin Costello,Sales Manager,"Gavin Costello, Baby Elegance",CPG (Consumer Packaged Goods),Manufacturing,"Sampling,Insights,Conversion","We got early insight into what’s important to the customers, and these positives and negatives helped us greatly in terms of offering further information and enhancing the products. The Sampling Programme has helped in terms of sales, and this could be seen in a matter of weeks.",Case study,Yes
Bare Escentuals Beauty,Theresa Fung,eCommerce Content Specialist,"Theresa Fung, Bare Escentuals Beauty",Health / Beauty,Manufacturing,Insights,"When you’re open to feedback, it’s not always positive. But we see that as a great opportunity to make changes for the better.",Case study,Yes
Beurer,Rachel Cox,National Account Sales Director,"Rachel Cox, Beurer",Health / Beauty,Manufacturing,Sampling,"We choose either new products that haven’t had any reviews to boost customer confidence, or existing products that were under-indexing with Argos due to having no reviews",Case study,Yes
Blue Diamond,Kirsten Foulke,Marketing Manager ,"Kirsten Foulke, Blue Diamond",Home Improvement/Furnishings,Manufacturing,Broad,We considered it key to have early customers share their honest experiences with the products to counterbalance the often-negative perception around As Seen On TV products,Case study,Yes
Blue Diamond,Kirsten Foulke,Marketing Manager ,"Kirsten Foulke, Blue Diamond",Home Improvement/Furnishings,Manufacturing,Broad,"We’re disruptors in the industry and make genuinely great products, but it’s hard to convey that on our own. Giving customers a platform to express their opinions and hear from others is a more compelling way to educate shoppers and demonstrate the quality of our products",Case study,Yes
Blue Diamond,Kirsten Foulke,Marketing Manager ,"Kirsten Foulke, Blue Diamond",Home Improvement/Furnishings,Manufacturing,Insights,"Through reviews, we were able to quickly get ahead of any potential issues affecting the customer experience and correct them. We also found that consumers considered our ceramic coating to be superior to traditional non-stick cookware, which is something we’ve always said. Hearing that from customers gave us positive validation that we’re creating products people love.",Case study,Yes
Blue Diamond,Kirsten Foulke,Marketing Manager ,"Kirsten Foulke, Blue Diamond",Home Improvement/Furnishings,Manufacturing,"Sampling,Conversion,BV Advantage: Network","We see the conversion rate increase as we increase volume. Retailers also know the value in reviews and push for them, so actively increasing volume helps ensure a positive partnership with the buyers. They see the influx of reviews as soon as the products are posted on their sites, and they’re impressed with how quickly we get them.",Case study,Yes
Blue Diamond,Kirsten Foulke,Marketing Manager ,"Kirsten Foulke, Blue Diamond",Home Improvement/Furnishings,Manufacturing,Broad,"There are lots of cookware options out there, so we take advantage of every available opportunity to showcase the superior quality of our product and the genuine care we have for our customers. The voice of the consumer is key to helping us make a connection to potential, future customers.",Case study,Yes
BodyGuardz,Whitney Pye,Director of Marketing,"Whitney Pye, BodyGuardz",Speciality / Crafts / Art,Manufacturing,Customer experience,"Customer reviews are vital to our success at BodyGuardz. They provide that extra credibility that not only do we believe in our products, but our customers do, too.",Case study,Yes
BodyGuardz,Whitney Pye,Director of Marketing,"Whitney Pye, BodyGuardz",Speciality / Crafts / Art,Manufacturing,BV Advantage: Network,"Syndication is extremely helpful in showing we support our retail partners’ success, and in reinforcing our relationship. We were even able to show executives at one of our retailers reviews from their own employees that emphasized their sales associates strongly believed in our product.",Case study,Yes
Boots Retail,Bonnie Berrio,Customer Service Specialist,"Bonnie Berrio, Boots Retail",Health / Beauty,Retail,Customer engagement,"Responding to negative reviews gives us the chance to shift the way the customer feels toward us based on the way we handle their concerns. They might still share their negative experience about a product or service, but they also immediately follow with how they will always buy from us because of how well we handled the issue. We respond to reviews to get involved in a conversation with our customers.",Case study,Yes
Boulanger,Fanny Janiaczyk,Community Manager,"Fanny Janiaczyk, Boulanger",Consumer Electronics,Retail,"Customer experience,Customer engagement,Insights,BV: Generic","Bazaarvoice has allowed Boulanger to re-create the intimate relationships we had with our customers back when we started in the 1950s. They can engage with us personally, whether they’re in-store or shopping from their sofa. In being listened to, they regain control of their shopping experience — and in listening to them, we ensure that we have the most up-to-date product catalogue and responsive customer services possible. It means we earn their trust and their custom. We aim to deliver the best products, services and personnel to get direct feedback from customers, understanding what works for them and what doesn’t. Our customers feel that we’re listening and we can learn from what they tell us. What we found was that the modern shopping environment can put a barrier between us and our customers, which is simply not the Boulanger way.",Case study,Yes
Boux Avenue,Rachel Woolnough,E-Commerce Trading Assistant,"Rachel Woolnough, Boux Avenue",Apparel / Accessories,Retail,Visual content,It’s harder to buy exclusively online than it is to first visit a store and buy online after. Seeing the items on real people can help shoppers better visualise how the clothes are going to look on them whilst offering creative ways of styling and re-wearing our products.,G2,Yes
Briggs & Stratton,Rick Zeckmeister,Vice President of Consumer Marketing and Planning,"Rick Zeckmeister, Briggs & Stratton",Hardware / Home Improvement,Manufacturing,"Customer experience,Customer engagement","We do market research and focus groups and things that other companies do, but if we are really going to understand how people purchase things, we have to get out there and engage them. Now, with word-of-mouth is stronger than ever, we believe this is the way to reach our next generation of customers.",Case study,Yes
Briggs & Stratton,David Cluka,Director of Customer Experience,"David Cluka, Briggs & Stratton",Hardware / Home Improvement,Manufacturing,Amplify,"Coming from a marketing organization, what I love is our customers are basically writing our marketing copy for us.",Video interview,Yes
Briggs & Stratton,David Cluka,Director of Customer Experience,"David Cluka, Briggs & Stratton",Hardware / Home Improvement,Manufacturing,"Customer experience,BV Advantage: Network,BV Advantage: Strategy & Expertise,BV Advantage: Service & Support,BV: Generic","The added value of Bazaarvoice beyond the technology is the people. The technology is great and it works really well, but the people are so easy to work with. Our client success director is fantastic, I know I can pick up the phone and contact him whenever there is an issue and he is there and on the spot with a response. Review content has help to validate our internal and primary research, and that’s a big win for us. The people are great, even at the higher management level at Bazaarvoice, they’ve done some things I would consider above and beyond, things you just don’t get from any vendor, but you get from a true partner that’s invested in you. You can’t replicate all the value added research Bazaarvoice is doing and thought leadership they’re bringing to the table in the Conversation Indexes and the value the management and Client Success Directors bring when they come on site. When we were evaluating the need for a rating and review platform we saw two dynamics at play.  We saw the consumer expectation of wanting good, rich, consumer generated content to help in their purchase decision, but then we also saw our retailers demanding this content. We saw reviews becoming incredibly important on the retailer websites in their sorting algorithms.",Video interview,Yes
Broan-NuTone,Richard P.,Global Webmaster,"Richard P., Broan-NuTone",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Content Integrity,Tools",Our rep is almost always available via phone call to help with an immediate issue. The dashboard is very easy to use. We needed a way to gather and moderate reviews and Bazaarvoice was perfect for that.,G2,Yes
Broan-NuTone,Richard P.,Global Webmaster,"Richard P., Broan-NuTone",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Network,Customer engagement,Q&A,Connections","Bazaarvoice Conversations is an integral part of our daily routine. Bazaarvoice Conversations is being used by our digital marketing, sales, product development, quality and customer service departments on a daily basis. Our main goal is to support two of our largest customers, big box retailers in the home improvement industry. We answer all questions from customers on their websites for our products. We also respond to all 1-2-3 star ratings and some 5-star also. Bazaarvoice Conversations is a great tool for rapid response. Our ability to answer questions on our retail partner websites in a timely manner. We constantly win awards from our retail partners for questions responded to in 24 hours or less. Bazaarvoice Conversations gives us the ability to respond to all 1-2-3 star ratings and some 5-star reviews also. We welcome 1-2-3 star reviews as it gives us an opportunity to let customers know we are responsive to their issues. Bazaarvoice Conversations is great at organizing a person's time to specific task and to quickly get them done so we can move on to other daily tasks.",Trust Radius,Yes
Broan-NuTone,Richard Peterson,Global Webmaster,"Richard Peterson, Broan-NuTone",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Network,Tools",Very robust UGC tool. I like the breadth of features that are available to me as an administrator that I can turn on to make the data collection an distribution more valuable. We utilize Bazaarvoice to provide ratings and reviews to our largest accounts for their websites. We have gained shelf space in recent live reviews because of the quality of data we are providing for their websites.,G2,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,Conversion,"Our results were phenomenal. We saw a 16% incremental lift in conversions on products with reviews, and a 20% lift in revenue.",Webinar,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,Sampling,We had an issue where our in-house sampling program wasn’t as effective as we might have liked. It was time-consuming and very costly. Bazaarvoice’s solution addressed all the issues we had with our own and at a much lower cost.,Case study,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,"Sampling,BV Advantage: Network","The greatest thing was that when lights went on with cosmetics, our reviews were syndicated to 15 key retailers.",Case study,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,Insights,This was the first time burtsbees.com would play a huge part in the launch period. Gathering learnings and understanding our customers and their shopping behaviors based on early feedback helped inform changes to our site that made it easier for cosmetics customers to find what they were looking for.,Case study,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,Customer experience,"In the past, we were not as shopper-focused. We knew we needed to better the shopper experience and that stars were important to customers. We needed to put stars right in front of their faces because they need to know what others are saying right away, and from there, each shopper could dive into specific reviews.",Case study,Yes
Burt's Bees,Taylor Steele,Assistant eCommerce Manager,"Taylor Steele, Burt's Bees",CPG (Consumer Packaged Goods),Manufacturing,BV: Generic,We have a partner in Bazaarvoice that we’ll continue to turn to as we start selling even more products our customers will love.,Case study,Yes
Caleres,Hallie White,"Sr. Manager, Ecommerce","Hallie White, Caleres",Footwear,Manufacturing,Customer engagement,Being able to have the communication with our customers online that we do in our stores allows us to have a voice and a touch point with our customers in a way that we haven't been able to have before.,G2,Yes
Canadian Tire,Jeremy,,"Jeremy, Canadian Tire",Mass Merchant / Department Store,Retail,"Customer experience,Insights","Insightful and Impactful. We have been a Bazaarvoice client since 2007 and have come to rely on the insights provided by our customers to inform our buying, quality assurance and marketing decisions. We regularly share customer reviews across the corporation to ensure we are selling the right mix of products that meet the needs of our customers.",Website,Yes
Castorama France,Patricia Delhomme,eMarketing Manager,"Patricia Delhomme, Castorama France",Home Improvement/Furnishings,Retail,"Conversion,Customer experience",The conversion rate is better on products with reviews because customers can look at those reviews to get the information and reassurance they need to make a purchase with confidence.,Case study,Yes
Cellarmasters,Luke Calavassy,Digital Marketing Manager,"Luke Calavassy, Cellarmasters",Food / Beverage / Drug,Retail,Amplify,"Since focusing on the collection of reviews, we now use these independent product endorsements as lead marketing messages.",Case study,Yes
Cellarmasters,Anonymous,Anonymous,"Anonymous, Cellarmasters",Food / Beverage / Drug,Retail,"BV Advantage: Service & Support,BV: Generic","Really positive experience on all fronts with Bazaarvoice. Personally working with Bazaarvoice for over 2 years has been a real pleasure. As we renewed our focus on driving ratings and reviews, the team has facilitated requests, proposed ideas, looked for solutions and overall been a great partner. Definitely recommend the product to anyone looking for a business solution to capturing and promoting ratings and reviews. The level of service is very good and account management goes above and beyond.",G2,Yes
Cleo,Efren Gonzalez,Project Manager,"Efren Gonzalez, Cleo",Health / Beauty,Manufacturing,"Shopify,BV Advantage: Service & Support",The team at Bazaarvoice made implementation a pain-free process. It took about a week from start to finish. We expected a standard onboarding process and were honestly blown away by how organized and efficient the process really was. It feels like the team has this down to a science. The team is always available and truly has a customer-first mentality. We really appreciated the personal attention. They provided us with a detailed outline and step-by-step instructions on how to hand-off deliverables where needed. Their technical team handled the vast majority of the work and were very responsive to feedback.,Case study,Yes
Conrad Electronics,Katja Klafka,Social Media Marketing Manager,"Katja Klafka, Conrad Electronics",Consumer Electronics,Retail,"Insights,Customer experience","We introduced ratings and reviews because we were convinced that our customers’ opinions would help others with their buying decisions. The data tells us our assumptions were correct. Reviews enable us to give feedback to our suppliers, so they can respond with product improvements or other action on their side.",Case study,Yes
Cover FX Skincare,Britney Munguia,Digital Marketing & Social Media Strategist,"Britney Munguia, Cover FX Skincare",Health / Beauty,Manufacturing,"BV: Generic,Customer experience","Fantastic platform. Bazaarvoice has taken the stress off my shoulders by simplifying how we pull in real-time, user-generated content to our website. Instead of searching the Internet for content, Bazaarvoice pulls this information for us and displays it on product pages and within a lifestyle gallery, which helps our consumer purchase our products online. With Q&A and Ratings and Reviews, we're able to display honest feedback as well. By pulling in UGC and offering Q&A to our site's visitors, we are able to help them make an educated purchase decision.",G2,Yes
Debenhams,Nikki Watson,Head of Optimisation,"Nikki Watson, Debenhams",Mass Merchant / Department Store,Retail,Customer experience,"We know that reviews instill trust in our customers, fill in knowledge gaps, and strengthen their intent to purchase.",Case study,Yes
Debenhams,Carly Hounsell,Product Review Coordinator,"Carly Hounsell, Debenhams",Mass Merchant / Department Store,Retail,Customer experience,"We strive to drive and leverage consumer-driven content to add value for both the business and our customers, whilst maintaining quality reflective of the Debenhams brand. While ensuring we are connecting with shoppers and assisting with their purchase decisions, instilling trust is always driving our efforts with customer reviews.",Case study,Yes
Debenhams,Nikki Watson,Head of Optimisation,"Nikki Watson, Debenhams",Mass Merchant / Department Store,Retail,BV Advantage: Network,"With so many of our brands already part of the Bazaarvoice Network, making the most of the content already out there was a really simple process.",Case study,Yes
Debenhams,Carly Hounsell,Product Review Coordinator,"Carly Hounsell, Debenhams",Mass Merchant / Department Store,Retail,Conversion,"Conversion is a key metric we are looking to increase, and our analytics show that products with more reviews experience a higher level of conversion.",Case study,Yes
Debenhams,Carly Hounsell,Product Review Coordinator,"Carly Hounsell, Debenhams",Mass Merchant / Department Store,Retail,"Sampling,Insights,Customer experience","The sampling campaign helped us launch the brand along with really strong and honest reviews. Reviewers provided really constructive and lengthy feedback, which we know is a big factor in conversion. This provides us with an extra dimension to our product pages and offers new customers a trusted visual source to inspire them. If we’re asking a customer to rate makeup, we don’t want to ask them how it fits or the style. We want to know their skin type, ease of application, how long it lasts, and those sorts of relevant pieces of information.",Case study,Yes
Design Toscano,Jeannie,[pending],"Jeannie, Design Toscano",Home Improvement/Furnishings,Manufacturing,"BV Advantage: Strategy & Expertise,BV Advantage: Service & Support,BV Advantage: Innovation","Design Toscano has been using Bazaarvoice for multiple years, but only utilizing ratings and reviews. Everyone I've worked with has been helpful with the different reports you can pull, and offering up new and innovative ideas. Can't wait to see how else we can work with you!",Website,Yes
DEVIL-DOG Dungarees,Kirk Zambrano,Director of Management Information Systems,"Kirk Zambrano, DEVIL-DOG Dungarees",Apparel / Accessories,Retail,Shopify,"Implementation process was pretty easy, painless and on timely manner. The process took about two weeks.",Case study,Yes
DEVIL-DOG Dungarees,Kirk Zambrano,Director of Management Information Systems,"Kirk Zambrano, DEVIL-DOG Dungarees",Apparel / Accessories,Retail,"Shopify,BV Advantage: Network",We are considered a small company and getting brand recognition is important. Having review posting on our site and our retail partner sites helps us be recognized more and more each day.” ,Case study,Yes
Dr Pepper Snapple Group,Hayley Theall,"Associate Manager, Ecommerce Marketing","Hayley Theall, Dr Pepper Snapple Group",Food / Beverage / Drug,Manufacturing,BV Advantage: Strategy & Expertise,"Without a Bazaarvoice CSD or CGC plan, there is truly no way to strategically generate ratings & reviews; in addition, a CSD is essential to improving your program and ensuring you take advantage of all Bazaarvoice has to offer. Our eCommerce team is relatively small, with only one person managing ratings & reviews; my CSD helps to “expand” the team and strengthen our message to the organization that CGC is vital for our business.",Direct,Yes
DS Laboratories,David De Nino,Director of E-Commerce,"David De Nino, DS Laboratories",Health / Beauty,Manufacturing,"Brand Edge,BV Advantage: Service & Support,BV: Generic,Conversion,BV Advantage: Network","I can’t believe how effortless it made it for us to get customer reviews and publish them to our channel partner’s website. Within four months of launching our products, we saw a 235% revenue increase, much of which is attributable to having review content on our retailer’s product pages. Within one month of launching, we were able to go from 0% to 100% product review coverage with the help of Bazaarvoice. Additionally, we saw a 235% revenue increase in just four months, much of which is attributable to having review content on our retailer’s product pages. We later published our collected review content on our other channel partner’s website, which resulted in a 144% revenue increase in just 30 days. You’re not going anywhere without reviews. People today simply won’t buy a product without reviews. It’s great to have a solution that is working in our favor to help us collect and publish them on retail sites.",Case study,Yes
DSW,Alison Wagner,Digital Product Specialist,"Alison Wagner, DSW",Footwear,Retail,"Visual content,Customer experience","The two types of content overlap in their overall purpose. A shopper might be looking for a shoe for a nice occasion and see that a particular sandal has reviews saying it’s comfortable. That checks off one box in their buying decision. Then looking at the Curations content and seeing other customers wearing the sandals in certain styles, checks the other box.",Case study,Yes
DSW,Alison Wagner,Digital Product Specialist,"Alison Wagner, DSW",Footwear,Retail,"Visual content,Customer experience","A challenge for any online retailer is the missing in-person ‘try on’ element. Letting customers read reviews on how a shoe fits or feels along with seeing customer photos for style, fills that gap.",Case study,Yes
DSW,Alison Wagner,Digital Product Specialist,"Alison Wagner, DSW",Footwear,Retail,"Visual content,Customer experience",One of the Digital Team’s main strategies is bringing DSW’s assortment to life. Having more lifestyle photography and ‘how to wear’ information from consumer-generated content increases customer confidence and drives conversions.,Case study,Yes
Easyparapharmacie ,Mélanie Troiano,Responsable Marketing et Communication,"Mélanie Troiano, Easyparapharmacie ",Health / Beauty,Retail,SEO,The SEO part is very important to us and the content we collect is a significant advantage for that,Case study,Yes
EGO,Joe Turoff,VP of Sales and Marketing,"Joe Turoff, EGO",Hardware / Home Improvement,Manufacturing,BV Advantage: Network,"Being able to feature large numbers of reviews on retailer sites accomplishes two things. First, it enables EGO to reach more potential customers where they are likely to buy, and second, it enhances our position with the retailer, by demonstrating that consumers are rallying around our products.",Case study,Yes
EGO,Joe Turoff,VP of Sales and Marketing,"Joe Turoff, EGO",Hardware / Home Improvement,Manufacturing,Insights,The product team scours review content and picks up on what people are saying. They’ve been able to make even great products better using the information they receive.,Case study,Yes
EGO,Emma Gayler,Marketing Executive (EMEA),"Emma Gayler, EGO",Hardware / Home Improvement,Manufacturing,Google Translated Reviews,We were very pleased with how easy the implementation of translated reviews was for our websites across Europe. The Bazaarvoice team were very helpful in getting this all set-up for us and it’s been working great so far.,Direct,Yes
EGO,Emma Gayler,Marketing Executive (EMEA),"Emma Gayler, EGO",Hardware / Home Improvement,Manufacturing,Google Translated Reviews,"We haven’t seen the complete impact of translated reviews just yet as we’ve only just implemented this feature, however we already realise the benefit of having English reviews on our websites and the impact this has had on our growth for our English speaking markets. Therefore we are excited to measure the impact this will have now it is live on our European websites.",Direct,Yes
EGO,Emma Gayler,Marketing Executive (EMEA),"Emma Gayler, EGO",Hardware / Home Improvement,Manufacturing,Google Translated Reviews,"We’re lucky to be able to share reviews from the US across Europe as we are certainly do not have the same volume of reviews written here in Europe. We’ve seen the great impact this has had, but it is limited to English speakers only and can appear to some as not genuine as it’s not in their native language, therefore doesn’t apply to them directly. We are hoping to see an uplift in customers writing reviews across Europe if they can see and feel inspired by what other customers have written.",Direct,Yes
Electrolux,Michelle Rossier,Marketing Manager of Consumer and Ownership Experience,"Michelle Rossier, Electrolux",Hardware / Home Appliance Electronics,Manufacturing,"Conversion,Customer experience",Our research in shopper behaviour has confirmed that reviews have been a strong influencer of consumers in their shopper journey.,Case study,Yes
Electrolux,Michelle Rossier,Marketing Manager of Consumer and Ownership Experience,"Michelle Rossier, Electrolux",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Network,Amplify","The key value has been amplifying our reviews for retail channel success. Consumers typically visit retailer sites when doing research as part of the purchase cycle. Having distributed reviews has helped showcase our quality, and in some cases, our brand differentiation.",Case study,Yes
Elkjop,Henning Kleiven,Business Development Manager eCommerce,"Henning Kleiven, Elkjop",Consumer Electronics,Retail,"Tools,BV: Generic,BV Advantage: Strategy & Expertise","Bazaarvoice saw that this wasn’t a tick box exercise for us and offered the vision, strategy and technologies to create authentic customer engagement.",Case study,Yes
Elkjop,Simen Sundt,Social Media Project Manager,"Simen Sundt, Elkjop",Consumer Electronics,Retail,"Q&A,Conversion,Customer engagement","The changes enabled us to achieve optimal handling time for questions, going from hours to minutes. That improvement, in turn, led to a high impact on Q&A-related conversion. This new handling model goes hand in hand with our brand strategy to be perceived as the ‘specialist’ in the market; it perfectly fits our image - that of a specialist platform for a community of specialists. Working with Bazaarvoice, ELKJØP has rediscovered its customer roots. We’re now really talking ‘with’ our consumers instead of ‘at’ them and it’s transforming our relationship with the millions of people who shop with us. It’s helping us to achieve our goal of becoming the most consumer-focused and friendly electronics retailer on earth.",Case study,Yes
